Date,Close,Volume
2021-08-31,28089.54,75900000
2021-09-01,28451.02,64800000
2021-09-02,28543.51,60100000
2021-09-03,29128.11,74900000
2021-09-06,29659.89,68300000
2021-09-07,29916.14,75200000
2021-09-08,30181.21,82500000
2021-09-09,30008.19,78800000
2021-09-10,30381.84,88800000
2021-09-13,30447.37,64600000
2021-09-14,30670.1,79100000
2021-09-15,30511.71,68600000
2021-09-16,30323.34,69900000
2021-09-17,30500.05,97900000
2021-09-21,29839.71,76300000
2021-09-22,29639.4,69000000
2021-09-24,30248.81,84600000
2021-09-27,30240.06,74600000
2021-09-28,30183.96,89800000
2021-09-29,29544.29,94700000
2021-09-30,29452.66,99000000
2021-10-01,28771.07,82200000
2021-10-04,28444.89,76400000
2021-10-05,27822.12,88200000
2021-10-06,27528.87,100200000
2021-10-07,27678.21,79600000
2021-10-08,28048.94,82700000
2021-10-11,28498.2,72300000
2021-10-12,28230.61,66300000
2021-10-13,28140.28,63900000
2021-10-14,28550.93,64800000
2021-10-15,29068.63,66300000
2021-10-18,29025.46,62600000
2021-10-19,29215.52,57600000
2021-10-20,29255.55,66100000
2021-10-21,28708.58,59100000
2021-10-22,28804.85,60200000
2021-10-25,28600.41,62700000
2021-10-26,29106.01,72800000
2021-10-27,29098.24,70600000
2021-10-28,28820.09,142800000
2021-10-29,28892.69,104500000
2021-11-01,29647.08,76700000
2021-11-02,29520.9,71100000
2021-11-04,29794.37,90400000
2021-11-05,29611.57,73500000
2021-11-08,29507.05,68300000
2021-11-09,29285.46,65000000
2021-11-10,29106.78,63900000
2021-11-11,29277.86,60600000
2021-11-12,29609.97,68400000
2021-11-15,29776.8,60400000
2021-11-16,29808.12,62000000
2021-11-17,29688.33,63900000
2021-11-18,29598.66,65400000
2021-11-19,29745.87,65600000
2021-11-22,29774.11,58800000
2021-11-24,29302.66,69500000
2021-11-25,29499.28,50700000
2021-11-26,28751.62,72900000
2021-11-29,28283.92,85900000
2021-11-30,27821.76,140700000
2021-12-01,27935.62,80900000
2021-12-02,27753.37,77400000
2021-12-03,28029.57,71900000
2021-12-06,27927.37,61700000
2021-12-07,28455.6,78300000
2021-12-08,28860.62,72000000
2021-12-09,28725.47,54400000
2021-12-10,28437.77,63400000
2021-12-13,28640.49,53500000
2021-12-14,28432.64,55200000
2021-12-15,28459.72,55900000
2021-12-16,29066.32,60300000
2021-12-17,28545.68,84400000
2021-12-20,27937.81,65200000
2021-12-21,28517.59,55800000
2021-12-22,28562.21,44700000
2021-12-23,28798.37,43600000
2021-12-24,28782.59,35900000
2021-12-27,28676.46,37500000
2021-12-28,29069.16,47000000
2021-12-29,28906.88,44700000
2021-12-30,28791.71,40400000
2022-01-04,29301.79,66000000
2022-01-05,29332.16,78600000
2022-01-06,28487.87,71600000
2022-01-07,28478.56,75200000
2022-01-11,28222.48,73700000
2022-01-12,28765.66,72500000
